NOME;PONTUACAO;COMENTARIO;LOCAL;TIPO;TEMPO_ESPERA;BUSCA_ID
taberna drinks;5.0;7 comentários;Rua Araripe Macêdo, 819 - João XXIII, Fortaleza - CE, 60525-562;Bar;;bar
Bar Do Ceará;4.2;49 comentários;Tv. Salgueiro, 38 - Pres. Kennedy, Fortaleza - CE, 60355-390;$;10 min a 1 h;bar
Cine House;3.6;73 comentários;R. Meton de Alencar, 363 - Centro, Fortaleza - CE, 60035-160;$;30 min a 1,5 h;bar
Órbita Blue;4.5;7.272 comentários;Av. Clóvis Arrais Maia, 3879 - Vicente Pinzon, Fortaleza - CE, 60182-026;$$;;bar
Espetinho Roots BAR;4.2;20 comentários;R. Castro Alves, 518 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60130-210;Bar;;bar
Rapanui Beach Bar;4.4;334 comentários;Av. Clóvis Arrais Maia, 3751 3777 - Praia do Futuro, Fortaleza - CE, 60182-324;Bar;;bar
Clara Bar e Lanchonete;;;R. Ediberto Oria - Vicente Pinzon, Fortaleza - CE, 60182-095;;;bar
Bar do borogodo;;;Rua oliveira filho 2650 cs 270-1 - Praia do Futuro I, Fortaleza - CE, 60181-810;;;bar
After Bar;4.9;20 comentários;R. Castro Alves, 518 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60130-210;Restaurante;;bar
It's True! Food Bar;4.8;151 comentários;R. Joaquim Siqueira, 42 - Aldeota, Fortaleza - CE, 60170-080;$$;;bar
Bar Edmar Drinks;4.0;43 comentários;Rua Engenheiro João Nogueira - Carlito Pamplona, Fortaleza - CE, 60311-820;$$;;bar
Casa523Bar;5.0;Um comentário;R. Castro Alves, 523 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60130-210;Bar com música ao vivo;;bar
bar;4.3;11 comentários;R. Porto Alegre, 1510 - Henrique Jorge, Fortaleza - CE, 60510-205;Bar;25 min a 1,5 h;bar
Tioria bar;5.0;3 comentários;R. Gonçalves Lêdo, 1065 - Centro, Fortaleza - CE, 60110-261;Bar;;bar
NOTURNA MUSIC BAR;4.5;121 comentários;Av. Almirante Barroso, 877 - Praia de Iracema, Fortaleza - CE, 60060-440;Bares;;bar
Ritmo Urbano;4.4;883 comentários;R. dos Tabajaras, 374 - Praia de Iracema, Fortaleza - CE, 60060-510;$$;;bar
Blue Door Pub;4.2;761 comentários;R. Joaquim Nabuco, 1333 - Aldeota, Fortaleza - CE, 60125-055;$$;;bar
Bar Esconderijo;4.5;129 comentários;Av. João Pessoa, 4558 - Damas, Fortaleza - CE, 60425-812;$;4,5 horas;bar
Amsterdam C. Bar;4.2;83 comentários;R. José Avelino, 349 - Praia de Iracema, Fortaleza - CE, 60060-360;Casa noturna;2,5-5 horas;bar
Hoje Tem - Bar e Petiscaria;4.8;10 comentários;R. Carvalho Júnior, 510a - São João do Tauape, Fortaleza - CE, 60130-460;Bar;;bar
David's Drinks & Petiscos;5.0;Um comentário;R. Barão de Aratanha, 200 - Centro, Fortaleza - CE, 60050-070;Bar;;bar
Casa da Tia Ju (escadinha bar);5.0;Um comentário;R. Pedro 1, 243 - Centro, Fortaleza - CE, 60035-100;Bar;;bar
Bar Dos Amigos;4.6;7 comentários;R. João Cordeiro, 2626 - Joaquim Távora (Fortaleza), Fortaleza - CE, 62150-000;Bar;;bar
Bar do Ferro Velho;4.0;82 comentários;R. Confúcio Pamplona, 352 - Benfica, Fortaleza - CE, 60015-390;$;;bar
Hells Bar;4.0;4 comentários;Av. da Universidade, 2420 - Benfica, Fortaleza - CE, 60020-180;Bar;;bar
Bar Gato Preto.;4.4;184 comentários;R. Instituto do Ceará, 7 - Benfica, Fortaleza - CE, 60015-300;$;;bar
Bar do Pedrinho;4.5;47 comentários;R. Joaquim Magalhães, 18 - Benfica, Fortaleza - CE, 60040-160;$;;bar
Jegue's Bar;4.5;4 comentários;Rua General Bezerril, 373 - Centro, Fortaleza - CE, 60055-100;Bar;;bar
Gelson Bar;;;Av. Aguanambi, 1277 - Fátima, Fortaleza - CE, 60055-401;;;bar
Tymtym Bar;5.0;Um comentário;Centro, Fortaleza - CE, 60055-080;Bar;;bar
Barraca do Michell (Beira Mar);4.5;2 comentários;Av. Beira Mar, 3561 - Meireles, Fortaleza - CE, 60165-121;Bares;;bar
4 E 15;4.6;114 comentários;R. Confúcio Pamplona, 102 - Benfica, Fortaleza - CE, 60015-390;$;;bar
Barraca da diversidade;;;Praia de Iracema - Aldeota, Fortaleza - CE, 60140-170;;;bar
Summer Beach Chopp Bar;5.0;2 comentários;R. Tremembés, 03 - Praia de Iracema, Fortaleza - CE, 60060-250;Bar;;bar
Trailer Bar;4.6;29 comentários;Parque Manibura, Fortaleza - CE, 60822-040;$$;;bar
Moto Libre;4.4;713 comentários;Av. Monsenhor Tabosa, 299 - Praia de Iracema, Fortaleza - CE, 60165-011;$$;;bar
Boteco Beira-Mar;4.3;57 comentários;Av. Beira Mar, 2525 - B 10 - Meireles, Fortaleza - CE, 60165-120;Restaurante;;bar
Cactos Bar Fortaleza;5.0;Um comentário;Av. Beira Mar, 982 - Praia de Iracema, Fortaleza - CE, 60165-120;Bar;;bar
Balangandã Bar;4.8;116 comentários;Rua Dona Leopoldina, 1380 - Centro, Fortaleza - CE, 60110-000;Bar;;bar
